selected_rank,state_id,split,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,global_alias_margin_grid_verified,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
154,5069,train,0.19970173039473593,0.025,0.0,1.0696790553629398,0.26314303895004487,0.01495014839784426,0.014950148417160901,0.03883110047606804,a1_low,0.1946381940763258,1.096,0.20892961308540398,0.010615348469534937,-0.004334799928309322,continuous_direct_verified,gamma_low,0.19558239833998012,1.090191065801408,0.2192858657917041,0.004119332054755814,0.020512010438468176,1.2
155,8473,train,0.15732819209806623,0.025,0.0,0.9160970821976662,0.17535585464795417,0.009442536476874786,0.009442536642180038,0.019562135967275615,gamma_high,0.16062432645158783,0.896,0.2187761623949553,0.006063651127108675,-0.003378885349766111,continuous_direct_verified,gamma_low,0.15514586800486507,0.9286496362213926,0.14612987887329515,0.0021823240932011545,0.012552554023726459,1.2
156,197,train,0.16855554268695416,0.025,0.0,1.0278744116425513,0.3632224227974451,0.015333540637591528,0.01533354077721081,0.039038919622277755,a1_low,0.16274918925104812,1.064,0.28840315031266056,0.009230387597724706,-0.006103153039866822,continuous_direct_verified,m_low,0.1730574825835459,0.9978744116425513,0.4209817722576,0.004501939896591728,0.030000000000000027,1.1590192285358027
157,8067,train,0.11005771588534118,0.025,0.0,1.1662613533437252,0.31275756944021127,0.012333923598480862,0.012333923644306327,0.036964391663037895,m_high,0.10629878418364064,1.2,0.2398832919019491,0.007957608064556953,-0.004376315533923909,continuous_direct_verified,gamma_low,0.10736979081248367,1.1915509113192724,0.26063130786684274,0.0026879250728575055,0.025289557975547217,1.2
158,32638,train,0.14369056085124615,0.025,0.0,0.5886879980564117,0.5605656378943306,0.009646832693615517,0.009646832925177193,0.021886241213116484,a1_low,0.13834877277329644,0.624,0.47863009232263826,0.004570676919750884,-0.005076155773864633,continuous_direct_verified,m_low,0.14820021225305915,0.5586879980564117,0.6299886481566263,0.004509651401813003,0.030000000000000027,1.1238445697868165
159,9110,train,0.14464385341852903,0.025,0.0,0.5687313869595527,0.29031692812634685,0.009568857428416592,0.009568858227180689,0.018751508046038458,a1_low,0.1392811590656625,0.6000000000000001,0.2187761623949553,0.005403052235255536,-0.0041658051931610564,continuous_direct_verified,gamma_low,0.14098405587649873,0.5893494919375744,0.24193077343862238,0.003659797542030302,0.020618104978021634,1.2
160,2035,train,0.11627495163120331,0.025,0.0,0.9203354582190514,0.3225759574158878,0.011236933519760938,0.011236933599955482,0.025236424142327584,m_high,0.11181491467084746,0.9600000000000001,0.2398832919019491,0.007116459801885318,-0.00412047371787562,continuous_direct_verified,gamma_low,0.1133625727981711,0.9463892318276703,0.2688132978465732,0.0029123788330322198,0.026053773608618935,1.1999999999999997
161,1725,train,0.18707857541739942,0.025,0.0,1.1230647899210453,0.2158342206131527,0.01428375868973984,0.014283759285655962,0.0321185637108983,gamma_low,0.18265890832761975,1.1440000000000001,0.16595869074375605,0.009304374480875816,-0.004979384208864025,continuous_direct_verified,gamma_low,0.183891725253123,1.1389989693138196,0.1798618505109606,0.003186850164276417,0.015934179392774306,1.2
162,19675,train,0.0942494590766728,0.025,0.0,0.9565823182463645,0.35267202478161935,0.010248883628984117,0.010248883569856728,0.022439148769304147,m_low,0.09883915059867165,0.904,0.4570881896148752,0.0057951746396142445,-0.004453708989369872,continuous_direct_verified,m_low,0.09682581334912424,0.9265823182463645,0.4114521471177147,0.0025763542724514393,0.030000000000000027,1.1666707824996696
163,46106,train,0.165376486023888,0.025,0.0,0.5356324784457683,0.1959575862165144,0.010539228330032638,0.010539228233218846,0.015150303054091607,a1_high,0.17055195768260092,0.512,0.25118864315095807,0.0043331421111665784,-0.006206086218866059,continuous_direct_verified,gamma_low,0.16244540966764842,0.548656215147227,0.16329798851376204,0.0029310763562395703,0.013023736701458621,1.1999999999999997
164,29637,train,0.16914121629670265,0.025,0.0,0.8185626432299613,0.23125931370601088,0.009722905257213896,0.009722905064964841,0.024761114124806263,gamma_high,0.17387039728946369,0.792,0.28840315031266056,0.0070848326260780844,-0.002638072631135812,continuous_direct_verified,gamma_low,0.16601884444069165,0.8358167900693888,0.1927160947550091,0.003122371856010997,0.017254146839427498,1.2
165,2185,train,0.1507354313042015,0.025,0.0,1.0442424140870572,0.9918750070314283,0.009473241048595026,0.009473241223706207,0.46142603808808674,a1_low,0.14298445730661477,1.1280000000000001,0.8317637711026709,0.0030173541989396333,-0.006455886849655392,continuous_direct_verified,m_high,0.14800283496309655,1.0742424140870572,0.9337557844788494,0.0027325963411049536,0.030000000000000027,1.0622424230389282
166,2354,train,0.19923816169612113,0.025,0.0,0.46602851748466495,0.7460758796651884,0.010565824145931334,0.010565824504800663,0.03641121530829422,a1_low,0.18942739072104117,0.512,0.6309573444801934,0.003469093846400937,-0.007096730299530398,continuous_direct_verified,a1_low,0.1942204287148812,0.4885708739755388,0.6868608669657162,0.00501773298123992,0.022542356490873827,1.0862110735192427
167,4957,train,0.18253227500244978,0.025,0.0,1.1960856705904006,0.11205225783746754,0.010706194161222215,0.010706194005101036,0.03653085694206855,gamma_high,0.18539835283040318,1.1840000000000002,0.1445439770745927,0.006795689676936062,-0.003910504484286153,continuous_direct_verified,gamma_high,0.18449532253171821,1.1873307404928952,0.13446270940496105,0.00196304752926843,0.008754930097505387,1.2
