state_id,state_index,a1,a2,a3,m,gamma,selected_rank,alias_score,nearest_alias_state_id,nearest_selected_rms_snr,nearest_selected_state_id
3P_S00043126,43126,0.17943323590565746,0.025,0.0,1.0689355673209495,0.1180609191303955,90,0.02526258257615757,PROFILED_CONTINUOUS,1.4124880209118513,3P_S00003476
3P_S00035372,35372,0.15090699376344074,0.025,0.0,1.1561924498819685,0.5412832141205991,91,0.025306386553709686,PROFILED_CONTINUOUS,1.3808964728248092,3P_S00013471
3P_S00032551,32551,0.16880825335551577,0.025,0.0,0.5598847391063269,0.534601367038587,92,0.027435684542509137,PROFILED_CONTINUOUS,1.3492936235727566,3P_S00032271
3P_S00044136,44136,0.17559491013490286,0.025,0.0,1.1397635248922122,0.34920105354631953,93,0.04479218046611135,PROFILED_CONTINUOUS,1.617989435368377,3P_S00003777
3P_S00013471,13471,0.1319468935008738,0.025,0.0,1.1457062939413705,0.25737248767685195,94,0.02863477942937088,PROFILED_CONTINUOUS,1.3808964728248092,3P_S00035372
3P_S00046956,46956,0.050715800584215515,0.025,0.0,0.4917793766338593,0.26293431293580816,95,0.041443311419162986,PROFILED_CONTINUOUS,1.687298865150227,3P_S00047426
3P_S00014037,14037,0.19846545605510174,0.025,0.0,0.7231458283706007,0.48440783214156663,96,0.03613885554214938,PROFILED_CONTINUOUS,1.304257079892833,3P_S00010799
3P_S00035536,35536,0.1939842252317352,0.025,0.0,1.1596017739840863,0.18974138912673538,97,0.026795640320595875,PROFILED_CONTINUOUS,1.3251581723331314,3P_S00012596
3P_S00047721,47721,0.06104406750819227,0.025,0.0,1.0492182960747218,0.6967966477370006,98,0.028520412078487194,PROFILED_CONTINUOUS,1.371785390322803,3P_S00019536
3P_S00033001,33001,0.19838477530208992,0.025,0.0,0.5426612978611263,0.38367055890969737,99,0.027671231556823193,PROFILED_CONTINUOUS,1.4203967067320782,3P_S00003476
3P_S00019948,19948,0.17004485716463785,0.025,0.0,0.5295971523854831,0.8475020945114485,100,0.025639219039491113,PROFILED_CONTINUOUS,1.4344880565345122,3P_S00010078
3P_S00044953,44953,0.17427848043564453,0.025,0.0,0.6339826986228538,0.5339222455269726,101,0.031172435861667812,PROFILED_CONTINUOUS,1.314578415157509,3P_S00010355
3P_S00014461,14461,0.17982404554857856,0.025,0.0,0.93956849493294,0.1951745602917476,102,0.027798554260862193,PROFILED_CONTINUOUS,1.326210361038672,3P_S00027299
3P_S00027299,27299,0.19466639103211986,0.025,0.0,0.9628230018656599,0.36186045217631013,103,0.03773597041265775,PROFILED_CONTINUOUS,1.326210361038672,3P_S00014461
3P_S00029889,29889,0.17968667598663018,0.025,0.0,0.9562778133779368,0.3839309570092433,104,0.03656966385517155,PROFILED_CONTINUOUS,1.3158613830923114,3P_S00033699
3P_S00021558,21558,0.15228132294752728,0.025,0.0,0.8543364418497592,0.7398028633645634,105,0.028464479055244102,PROFILED_CONTINUOUS,1.3150153569169865,3P_S00013155
3P_S00000912,912,0.19658628417956558,0.025,0.0,1.1864736046245927,0.029651750784137145,106,0.03791729776368136,PROFILED_CONTINUOUS,1.3729268252534061,3P_S00046571
3P_S00018006,18006,0.19450972463601274,0.025,0.0,1.16088741777924,0.6139385735543591,107,0.5538374182063001,PROFILED_CONTINUOUS,1.5939740049464692,3P_S00041091
