a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.125,0.015848931924611134,0.025118864315095794,0.002,8.723139762878418e-05,2.251506282531989e-05,0.0002251506282531989,0.0011886981159569788,0.0189409426355436,3.78818852710872e-05,5.943490579784894,0.5943490579784894
0.125,0.025118864315095794,0.039810717055349734,0.002,0.000138208270072937,3.566029033355227e-05,0.00035660290333552273,0.0018855890108475603,0.01891201641948645,3.78240328389729e-05,9.427945054237801,0.9427945054237802
0.125,0.039810717055349734,0.06309573444801933,0.002,0.00021873414516448975,5.640775395442323e-05,0.0005640775395442323,0.0029898778557134226,0.01886624025347137,3.773248050694274e-05,14.94938927856711,1.4949389278567111
0.125,0.06309573444801933,0.1,0.002,0.0003451108932495117,8.893034558436954e-05,0.0008893034558436955,0.004731851738615468,0.018793983940500726,3.758796788100145e-05,23.65925869307734,2.365925869307734
0.125,0.1,0.15848931924611143,0.002,0.0005401186645030975,0.00013902829612869646,0.0013902829612869646,0.007442363054909306,0.018680665684132056,3.736133136826411e-05,37.211815274546524,3.7211815274546525
0.125,0.15848931924611143,0.25118864315095807,0.002,0.0008284859359264374,0.00021294349167070577,0.002129434916707058,0.011506893608324851,0.018505732208790763,3.701146441758153e-05,57.53446804162426,5.753446804162426
0.125,0.25118864315095807,0.3981071705534973,0.002,0.0012137740850448608,0.00031142790130743133,0.0031142790130743135,0.01706904812508688,0.01824518268536115,3.6490365370722296e-05,85.34524062543441,8.53452406254344
0.125,0.3981071705534973,0.6309573444801934,0.002,0.0016248300671577454,0.0004161919462613266,0.004161919462613266,0.023272047532168754,0.017883770032955975,3.576754006591195e-05,116.36023766084377,11.636023766084376
0.125,0.6309573444801934,1.0,0.002,0.0018972568213939667,0.0004857636697287636,0.004857636697287636,0.027859908517310857,0.017435939153458903,3.487187830691781e-05,139.29954258655428,13.92995425865543
0.14,0.01,0.015848931924611134,0.002,6.163865327835083e-05,1.5913543754628328e-05,0.00015913543754628328,0.0008142608285730343,0.019543545748745273,3.908709149749055e-05,4.071304142865172,0.40713041428651714
0.14,0.015848931924611134,0.025118864315095794,0.002,9.769946336746216e-05,2.521704458871554e-05,0.0002521704458871554,0.0012916523812268013,0.01952308914939218,3.904617829878436e-05,6.458261906134007,0.6458261906134007
0.14,0.025118864315095794,0.039810717055349734,0.002,0.00015479326248168945,3.993929642948264e-05,0.0003993929642948264,0.0020491479895703743,0.01949068424182303,3.898136848364607e-05,10.24573994785187,1.024573994785187
0.14,0.039810717055349734,0.06309573444801933,0.002,0.00024497509002685547,6.317646105052219e-05,0.0006317646105052219,0.0032499177299585113,0.019439403178777917,3.887880635755584e-05,16.249588649792553,1.6249588649792552
0.14,0.06309573444801933,0.1,0.002,0.0003865286707878113,9.960225059256105e-05,0.0009960225059256105,0.005145154348533872,0.019358457267845235,3.871691453569047e-05,25.72577174266936,2.572577174266936
