a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.065,0.08,0.025118864315095794,0.002,0.002168722450733185,0.0005823856856275915,0.005823856856275916,0.034465129430407894,0.01689782383680139,3.379564767360278e-05,172.32564715203947,17.232564715203942
0.065,0.08,0.039810717055349734,0.002,0.0021521374583244324,0.0005781082362984853,0.005781082362984852,0.03425364560794502,0.016877276156684322,3.375455231336865e-05,171.2682280397251,17.126822803972512
0.065,0.08,0.06309573444801933,0.002,0.002125892788171768,0.0005713430415725581,0.005713430415725581,0.03391811557432347,0.01684477548054213,3.368955096108426e-05,169.59057787161734,16.959057787161733
0.065,0.08,0.1,0.002,0.002084478735923767,0.0005606768993270568,0.005606768993270569,0.03338646200286274,0.016793540426026016,3.358708085205203e-05,166.93231001431369,16.693231001431368
0.065,0.08,0.15848931924611143,0.002,0.0020196624100208282,0.0005440027492123768,0.005440027492123769,0.03254879477057401,0.01671345292650242,3.342690585300484e-05,162.74397385287006,16.274397385287006
0.065,0.08,0.25118864315095807,0.002,0.0019202455878257751,0.0005184658302456443,0.0051846583024564435,0.03125018251016448,0.01659080967213575,3.3181619344271506e-05,156.2509125508224,15.625091255082237
0.065,0.08,0.3981071705534973,0.002,0.0017745904624462128,0.00048112321882047386,0.004811232188204739,0.029316237909554715,0.016411492508172976,3.282298501634595e-05,146.5811895477736,14.65811895477736
0.065,0.08,0.6309573444801934,0.002,0.0015796124935150146,0.00043122938426527096,0.00431229384265271,0.026665295074406663,0.016171933708664064,3.234386741732813e-05,133.32647537203331,13.332647537203332
0.065,0.08,1.0,0.002,0.0013519451022148132,0.0003730129860715202,0.0037301298607152022,0.023471132182856267,0.015892415549684284,3.178483109936857e-05,117.35566091428134,11.735566091428133
0.08,0.095,0.01,0.002,0.0021857991814613342,0.0005867906241530954,0.005867906241530955,0.03352366685522767,0.017503772086960454,3.500754417392091e-05,167.61833427613837,16.761833427613833
0.08,0.095,0.015848931924611134,0.002,0.002179190516471863,0.0005850863470356265,0.005850863470356266,0.03344518806445,0.01749388718963534,3.498777437927068e-05,167.22594032224998,16.722594032225
0.08,0.095,0.025118864315095794,0.002,0.002168722450733185,0.0005823856551724205,0.005823856551724205,0.03332064180897475,0.017478224414499657,3.495644882899932e-05,166.60320904487372,16.66032090448737
0.08,0.095,0.039810717055349734,0.002,0.002152141183614731,0.0005781087163065147,0.005781087163065146,0.03312295185382633,0.017453417764749495,3.490683552949899e-05,165.61475926913164,16.561475926913165
0.08,0.095,0.06309573444801933,0.002,0.0021258890628814697,0.0005713427383556931,0.00571342738355693,0.032809050876433564,0.017414180632883934,3.482836126576787e-05,164.0452543821678,16.404525438216783
0.08,0.095,0.1,0.002,0.002084478735923767,0.0005606766334659048,0.005606766334659049,0.032311324101025184,0.017352326129157783,3.470465225831557e-05,161.5566205051259,16.15566205051259
0.08,0.095,0.15848931924611143,0.002,0.0020196661353111267,0.0005440029629408242,0.005440029629408242,0.03152609701318874,0.01725563943780431,3.451127887560862e-05,157.63048506594367,15.763048506594366
0.08,0.095,0.25118864315095807,0.002,0.0019202455878257751,0.0005184658193237319,0.005184658193237319,0.030306208937374166,0.017107577539477416,3.4215155078954835e-05,151.53104468687079,15.153104468687077
0.08,0.095,0.3981071705534973,0.002,0.0017745941877365112,0.000481123597938914,0.00481123597938914,0.028483854019637975,0.01689109899268572,3.378219798537144e-05,142.41927009818983,14.241927009818985
0.08,0.095,0.6309573444801934,0.002,0.0015796124935150146,0.000431229342691981,0.00431229342691981,0.02597469727980522,0.016601900612995893,3.3203801225991783e-05,129.87348639902612,12.98734863990261
0.08,0.095,1.0,0.002,0.0013519413769245148,0.0003730129581755354,0.003730129581755354,0.02293421547263498,0.01626447430131687,3.252894860263374e-05,114.67107736317492,11.467107736317491
0.095,0.11,0.01,0.002,0.0021857954561710358,0.0005867905840914904,0.005867905840914904,0.032439641624853056,0.018088688860296506,3.617737772059301e-05,162.1982081242653,16.21982081242653
0.095,0.11,0.015848931924611134,0.002,0.0021791942417621613,0.0005850862874964568,0.005850862874964569,0.03236614777896026,0.01807710610148034,3.615421220296068e-05,161.8307388948013,16.183073889480127
0.095,0.11,0.025118864315095794,0.002,0.0021687261760234833,0.000582385620759034,0.0058238562075903395,0.03224949279907377,0.01805875287365017,3.611750574730034e-05,161.24746399536886,16.124746399536885
0.095,0.11,0.039810717055349734,0.002,0.0021521374583244324,0.0005781085589422582,0.005781085589422581,0.03206426188639099,0.018029685541822008,3.605937108364402e-05,160.32130943195494,16.032130943195497
0.095,0.11,0.06309573444801933,0.002,0.002125892788171768,0.0005713428784536929,0.005713428784536929,0.031770025163075644,0.01798370871665943,3.5967417433318864e-05,158.8501258153782,15.88501258153782
0.095,0.11,0.1,0.002,0.002084478735923767,0.0005606767566582637,0.005606767566582636,0.03130308501306294,0.017911230040882242,3.5822460081764485e-05,156.5154250653147,15.651542506531472
0.095,0.11,0.15848931924611143,0.002,0.0020196624100208282,0.000544002624569613,0.00544002624569613,0.0305654880267407,0.017797936813365577,3.559587362673115e-05,152.82744013370348,15.282744013370348
0.095,0.11,0.25118864315095807,0.002,0.0019202455878257751,0.000518465934037979,0.005184659340379789,0.029417432799109862,0.01762444525933164,3.524889051866328e-05,147.0871639955493,14.708716399554934
