threshold_mahalanobis,axis,lo,hi,prebank_count,eligible_count,selected_count,eligible_fraction_of_prebank_bin,selected_fraction_of_eligible_bin
3.0,m,0.5785714285714286,0.862857142857143,294,56,49,0.19047619047619047,0.875
3.0,m,0.862857142857143,1.1471428571428572,294,91,84,0.30952380952380953,0.9230769230769231
3.0,m,1.1471428571428572,1.4314285714285715,294,95,79,0.3231292517006803,0.8315789473684211
3.0,m,1.4314285714285715,1.715714285714286,294,53,45,0.18027210884353742,0.8490566037735849
3.0,m,1.715714285714286,2.0,294,4,3,0.013605442176870748,0.75
3.0,gamma,0.01,0.15142857142857144,294,15,13,0.05102040816326531,0.8666666666666667
3.0,gamma,0.15142857142857144,0.29285714285714287,294,90,78,0.30612244897959184,0.8666666666666667
3.0,gamma,0.29285714285714287,0.4342857142857143,294,105,93,0.35714285714285715,0.8857142857142857
3.0,gamma,0.4342857142857143,0.5757142857142857,294,69,59,0.23469387755102042,0.855072463768116
3.0,gamma,0.5757142857142857,0.7171428571428572,294,17,14,0.05782312925170068,0.8235294117647058
3.0,gamma,0.7171428571428572,0.8585714285714285,294,3,3,0.01020408163265306,1.0
3.0,gamma,0.8585714285714285,1.0,294,0,0,0.0,0.0
