state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
36381,0.19070143317803745,0.025,0.0,0.48732249364256863,0.7067480212793614,0.010230361183755983,a1_low,0.18209069357975127,0.528,0.6025595860743578
36382,0.1306700382847339,0.025,0.0,0.9170710854232311,0.07338448860582478,0.006366443011533067,gamma_low,0.12885903512709604,0.928,0.04365158322401661
36383,0.10701585630886258,0.025,0.0,0.6527705572545528,0.19444590008321172,0.007778256533898991,gamma_low,0.104712784885833,0.672,0.1513561248436208
36384,0.11089141475968065,0.025,0.0,1.1130539432168005,0.7893970231497193,0.006475379537794468,m_low,0.1156809193885378,1.048,0.9120108393559097
36385,0.1338073902297765,0.025,0.0,0.4553940460085869,0.027822194650898406,0.0027095088952186863,gamma_high,0.13552151512011842,0.448,0.05011872336272725
36386,0.19444305328652267,0.025,0.0,0.9476426437497139,0.2869518193156181,0.013634485336678265,a1_low,0.18919218332132046,0.9760000000000001,0.22908676527677735
36387,0.06781614925712348,0.025,0.0,0.68332991451025,0.07584914036389351,0.0013125297747279595,gamma_low,0.06739229426885618,0.6880000000000001,0.06309573444801933
36388,0.07344573088921608,0.025,0.0,0.8290309906005859,0.010633991150091024,0.001916115014820407,gamma_high,0.07394355037213012,0.8240000000000001,0.025118864315095794
36389,0.1630133034195751,0.025,0.0,0.790218749642372,0.37393950254936453,0.007975573213446776,m_low,0.16781887171157905,0.76,0.4365158322401661
36390,0.15864655859768392,0.025,0.0,1.0073453724384307,0.0386538387317872,0.006050717254311378,gamma_high,0.1600427748162207,1.0,0.057543993733715694
36391,0.09778991462662817,0.025,0.0,0.574380299448967,0.10194688773111704,0.002915132151555355,gamma_low,0.09647047725953863,0.5840000000000001,0.07585775750291836
36392,0.08865893976762892,0.025,0.0,0.9819147929549217,0.051747916390997635,0.003409860734763463,gamma_high,0.08925042609823294,0.9760000000000001,0.06606934480075961
36393,0.14908185265958313,0.025,0.0,0.6488642647862435,0.13664918478504418,0.007014706582046008,gamma_low,0.14636149391196993,0.664,0.1
36394,0.17221752046607436,0.025,0.0,1.15358839482069,0.014109550234847933,0.0016607856421230391,gamma_high,0.1726123365946824,1.1520000000000001,0.019054607179632473
