prebank_rank,state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
2328,21621,0.17709115166217093,0.025,0.0,0.5500036686658859,0.2841315068932906,0.012971261475276295,0.005997854370858964,-0.006973407104417332,continuous_direct_verified,gamma_low,0.17263569031255155,0.569937360480273,0.23677625574440886,0.004455461349619383,0.01993369181438709,1.1999999999999997
2329,31957,0.17298434306867422,0.025,0.0,0.5735376179218292,0.3049685160603371,0.01268441052187645,0.006374613639554914,-0.0063097968823215365,continuous_direct_verified,gamma_low,0.1684188988642913,0.5953748193110001,0.254140430050281,0.004565444204382929,0.02183720138917089,1.1999999999999997
2330,47189,0.1731708696112037,0.025,0.0,0.5583066895604134,0.3571129235596473,0.012669657065097158,0.006359069281075849,-0.006310587784021308,continuous_direct_verified,a1_low,0.1681694329285261,0.5824913814501992,0.3012397531922566,0.005001436682677607,0.02418469188978578,1.1854774138383106
2331,40789,0.17412744732573632,0.025,0.0,0.5306947000324727,0.3123957724224196,0.011749895381450551,0.005679335172650956,-0.006070560208799596,continuous_direct_verified,a1_high,0.17912744732573632,0.5088533620422625,0.36411362732727526,0.0050000000000000044,0.021841337990210152,1.1655523520815227
2332,32149,0.1742594852112234,0.025,0.0,0.5495528072118759,0.4511999832483393,0.012495617761824484,0.0049455479200817545,-0.00755006984174273,continuous_direct_verified,a1_high,0.1792615826672552,0.5251726700024686,0.5079518565097612,0.0050020974560318066,0.02438013720940735,1.1257798656215503
2333,5173,0.17904224414378406,0.025,0.0,0.55141861140728,0.5208481146632463,0.012247849608528837,0.004920650092031139,-0.007327199516497697,continuous_direct_verified,a1_high,0.18404224414378406,0.526672557352265,0.5790525822439436,0.0050000000000000044,0.024746054055014954,1.1117494062896423
2334,25397,0.17996731176972391,0.025,0.0,0.5719588309526443,0.36322116563543544,0.010966223056653599,0.005757281355201741,-0.005208941701451858,continuous_direct_verified,a1_high,0.18505282886513946,0.5483960816842806,0.4172774690896109,0.005085517095415548,0.02356274926836377,1.1488247617938423
2335,10437,0.17057011676952244,0.025,0.0,0.5581750109791755,0.4488077065980659,0.010631678410916407,0.005088961644321791,-0.005542716766594616,continuous_direct_verified,a1_high,0.17558248922321726,0.5329303738215826,0.5072310904889388,0.005012372453694819,0.025244637157592953,1.1301746450249672
2336,41349,0.1672026419080794,0.025,0.0,0.5417208358645439,0.9942371549007887,0.014891227262448696,0.0032534572207176763,-0.01163777004173102,continuous_direct_verified,m_high,0.1628825140831721,0.5717208358645439,0.9131098633703615,0.004320127824907316,0.030000000000000027,1.0888472403868028
2337,16901,0.16849251580424607,0.025,0.0,0.559417175501585,0.947708668163434,0.014055303087372545,0.003442988519080454,-0.010612314568292092,continuous_direct_verified,m_high,0.16415079232916946,0.589417175501585,0.8696870473347735,0.004341723475076609,0.030000000000000027,1.0897122948625761
2338,45509,0.1699747756123543,0.025,0.0,0.5535849966108799,0.9224153634472159,0.012237872062612837,0.0035552652642624294,-0.008682606798350407,continuous_direct_verified,m_high,0.1655020616569419,0.5835849966108799,0.8448090795118732,0.004472713955412405,0.030000000000000027,1.0918625116815543
