stage,domain,anchor_id,true_a1,true_m,true_gamma,grid_margin,continuous_margin,trigger,alias_a1,alias_m,alias_gamma
3p,development,15,0.12216481105424465,1.1167400926351547,0.8862389653827996,0.00966829359945192,0.00966829359945192,a1_low,0.11600716767170959,1.1500000000000008,0.76
3p,development,16,0.12014189446344974,0.46607877388596536,0.18351556524634363,0.0020775024419985395,0.002077502441999231,a1_high,0.12982141980538595,0.45000000000000007,0.19
3p,development,17,0.19928185362368822,1.13396779820323,0.5951673667412252,0.0128350784953846,0.012835078495383888,a1_low,0.1936827317764056,1.1500000000000008,0.53
3p,development,18,0.13001310830004514,0.7341914966702461,0.4871974073816091,0.007184374608493542,0.0071843746084929785,a1_high,0.13892540016449492,0.6900000000000003,0.5700000000000001
3p,development,19,0.051165080210193996,0.8657653629779816,0.7560502873547376,0.003351993520153267,0.003351993520153267,m_low,0.05343658666370914,0.8300000000000004,0.8400000000000001
3p,development,20,0.06922351187095047,0.6996233619749546,0.7471358040068299,0.00438183950091336,0.004381839500911871,m_high,0.06661342416270766,0.7300000000000003,0.6900000000000001
3p,development,21,0.1494575597345829,0.9003256492316722,0.02961364118382335,0.012737688389992643,0.012737688389992643,gamma_high,0.15272100248332612,0.8900000000000005,0.06999999999999998
3p,development,22,0.1812267350498587,0.5006469085812568,0.911644238717854,0.003230440327282811,0.0032304403272884804,a1_low,0.17211517650292527,0.5400000000000001,0.8400000000000001
3p,development,23,0.10069875228218736,1.099407511949539,0.3296700208541006,0.01236562852351496,0.012365628523514409,gamma_high,0.10451522434890269,1.0800000000000005,0.41000000000000003
3p,development,24,0.0945832052268088,0.7642075203359127,0.950148934982717,0.004398334890649445,0.004398334890649445,m_high,0.09083620469828695,0.8000000000000004,0.87
3p,development,25,0.16566309053450823,0.8357472069561481,0.29069501130841674,0.014624876976169748,0.014624876976169748,a1_low,0.15836103546201316,0.8600000000000004,0.22
3p,development,26,0.1549870223272592,0.43552525937557224,0.6466370136383921,0.0017279916843544667,0.0017279916843544667,a1_high,0.1661411531816441,0.4,0.6900000000000001
3p,development,27,0.08420135690830649,1.1645226821303367,0.13058625584468245,0.005995815990439746,0.005995815990439452,gamma_high,0.08525284955895436,1.1600000000000006,0.15999999999999998
3p,development,28,0.06607011919841171,0.5947254322469234,0.38646838021464647,0.003958768340532325,0.003958768340531543,a1_low,0.06059390493702053,0.6400000000000002,0.32
3p,development,29,0.13561652973294258,1.0053268559277058,0.8563092667795718,0.007139016535040975,0.006546863961459939,a1_high,0.14081749237316762,0.9761004712337664,0.9442916578330762
3p,development,30,0.183790739113465,0.6050073474645614,0.22225076384842396,0.007845281245973819,0.007845281245974048,a1_low,0.1780254318246989,0.6200000000000002,0.2
3p,development,31,0.11395268249325455,0.9949430331587791,0.5569062579702586,0.009924630615112066,0.009924630615109897,a1_high,0.11994226773051078,0.9600000000000005,0.66
3p,full,0,0.1418779246509075,0.1946790291927755,0.14411385899409654,4.155052395079426e-05,4.155052395079426e-05,a1_low,0.07504606782759037,0.21000000000000002,0.25
3p,full,1,0.044539797306060794,1.742082456573844,0.918417689120397,0.007252871226205661,0.007252871226205407,gamma_low,0.0409309485538815,1.73,0.73
3p,full,2,0.0627299539744854,0.6468751013092696,0.3237841335311532,0.0033528228143385208,0.0033528228143384223,m_low,0.06724163007654242,0.61,0.38
3p,full,3,0.17251923084259035,1.1992771053314208,0.6032901086751372,0.012159579432082466,0.012159579432082466,a1_high,0.17890362130890186,1.18,0.6900000000000001
3p,full,4,0.18579323627054692,0.807438354967162,0.8455401219800115,0.005886627208161026,0.005886627208158485,a1_high,0.19197157257505532,0.78,0.91
3p,full,5,0.07600395344197751,1.3744255252275617,0.07293869175948202,0.016188645829200217,0.004484058652132075,gamma_high,0.07643509498770003,1.3744255252275617,0.08752643011137844
3p,full,6,0.006254354491829872,0.26439058790914716,0.6732661031745374,2.4817325328839954e-05,2.481732532881235e-05,m_low,0.006993241361949802,0.23,0.7100000000000001
3p,full,7,0.10359247587621212,1.826378232622519,0.39592727965675295,0.01478393787332316,0.01478393787332333,gamma_high,0.1084187475092117,1.84,0.49
3p,full,8,0.11786312740296126,0.62574389629066,0.7223496839217841,0.004543857044580889,0.004543857044580889,a1_high,0.12696397335995457,0.5700000000000001,0.8200000000000001
3p,full,9,0.020523456297814848,1.0527935939095914,0.44501937239430844,0.002848376525078626,0.002848376525078601,m_low,0.021691158735233834,1.02,0.56
3p,full,10,0.08988252561539412,0.08075238436460494,0.7978476984426379,3.484383355192623e-05,3.4843833551821044e-05,a1_high,0.10647338934031819,0.060000000000000005,0.91
3p,full,11,0.1996733581647277,1.5028035053424538,0.025235926965251565,0.04051763043203,0.0025812237712985633,gamma_low,0.1993667625281926,1.5028035053424538,0.02102993913770964
3p,full,12,0.1613993527367711,0.49493388877250255,0.2674868696555495,0.003394825186933424,0.003394825186933424,a1_high,0.18107788030293498,0.46,0.29000000000000004
3p,full,13,0.05160852614790201,1.933493593512103,0.5470013272855431,0.007662847193547642,0.007662847193546363,gamma_high,0.055151180458581965,1.96,0.66
3p,full,14,0.033808899112045765,0.9451862753275782,0.19986874533817173,0.0036695841005180427,0.0036695841005180427,gamma_low,0.03276193103649635,0.9600000000000001,0.14
3p,full,15,0.13114857617765666,1.3887455056142062,0.9741621456947178,0.01266519781356971,0.01266519781356971,a1_low,0.1236638496028442,1.4100000000000001,0.8200000000000001
3p,full,16,0.13725246377289296,0.9249179631192237,0.4818396128993481,0.007938876473574233,0.007938876473573777,a1_high,0.1425424923593063,0.9,0.55
3p,full,17,0.02751046232879162,1.4763027399685233,0.6995026795007289,0.004492519980493457,0.004492519980493457,gamma_high,0.029407415820198325,1.46,0.87
3p,full,18,0.05820069499313832,0.41126312111504376,0.046967086168006066,0.0006429433553555486,0.0006429433553555957,a1_low,0.03730012152896444,0.43,0.06
3p,full,19,0.15539388470351698,1.9576493213232606,0.759363762140274,0.010902333792279952,0.010902333792278894,a1_low,0.1483190892614915,1.94,0.68
3p,full,20,0.1936671204864979,0.048095170967280866,0.5074748344440013,1.016751845897598e-05,1.0167518458859906e-05,a1_low,0.18176666317783263,0.05,0.52
3p,full,21,0.09647393673658372,1.6110089478828014,0.29198269233107566,0.011067531461206223,0.011067531461204348,gamma_low,0.09450195713101815,1.61,0.24000000000000005
3p,full,22,0.014224249869585037,0.5291983876004815,0.9504236319940538,0.00025656275816296107,0.00025656275816297706,m_high,0.013689425543975477,0.56,0.89
3p,full,23,0.12396625727415085,1.0971116900630296,0.2397255756892264,0.01360597957015549,0.013605979570154627,gamma_low,0.12014054229459972,1.11,0.17
3p,full,24,0.11008623111993075,0.36190765767358246,0.8785589704941958,0.0011777977395720134,0.0011777977395735027,a1_low,0.10505665741502375,0.39,0.8300000000000001
3p,full,25,0.0003457734361290932,1.7849760058242827,0.16785426096990705,3.704275677773664e-05,3.7042756777737016e-05,gamma_low,0.00034021716757100034,1.78,0.13
3p,full,26,0.08220473993569613,0.8449545598682017,0.5787961742747575,0.004934094930652654,0.004934094930652466,m_low,0.08629075814041884,0.81,0.66
3p,full,27,0.17939637396484615,1.2730214846599848,0.3633087380975485,0.018838628792436748,0.018838628792436748,a1_high,0.18594278814772813,1.26,0.45
3p,full,28,0.16612313818186522,0.7256873519159853,0.1114207397866994,0.0076642871855643465,0.0076642871855643465,a1_high,0.17160147250325467,0.7100000000000001,0.15000000000000002
3p,full,29,0.06893149819225074,1.168320450000465,0.8238108510524035,0.006588620625871664,0.006588620625872794,m_low,0.0730414353806684,1.1300000000000001,0.97
3p,full,30,0.038631985895335674,0.21397625477984547,0.4187761723529547,8.99775777455989e-05,8.99775777455827e-05,a1_high,0.050029312502002696,0.19,0.37
3p,full,31,0.14837243761867286,1.6516098273172974,0.6364439743943513,0.01326345447667357,0.013263454476670794,a1_low,0.14307609543478103,1.6500000000000001,0.55
