stage,domain,anchor_id,a1,m,gamma,sigma_min,condition,abs_cos_a1_loggamma,abs_cos_a1_m,abs_cos_m_loggamma
3p,development,22,0.1812267350498587,0.5006469085812568,0.911644238717854,0.01094028266536243,4927.439488245323,0.9949851268530682,0.9990977127081494,0.9898398514904306
3p,development,23,0.10069875228218736,1.099407511949539,0.3296700208541006,0.06774910314144565,797.702304076089,0.9993795449047773,0.6303693422084183,0.6572149568837073
3p,development,24,0.0945832052268088,0.7642075203359127,0.950148934982717,0.01914218097490508,2897.7856699716826,0.9980928572214588,0.9880630555255994,0.9766717222872218
3p,development,25,0.16566309053450823,0.8357472069561481,0.29069501130841674,0.05484337656590048,1134.6901397466977,0.9992211283755996,0.8930055222162986,0.8745740900767428
3p,development,26,0.1549870223272592,0.43552525937557224,0.6466370136383921,0.00726947061613344,7928.677777497824,0.988182541551492,0.999884122997222,0.9857351353798636
3p,development,27,0.08420135690830649,1.1645226821303367,0.13058625584468245,0.038481373074275134,1373.3108210310347,0.9996587697846263,0.8686706775698397,0.8811410122496373
3p,development,28,0.06607011919841171,0.5947254322469234,0.38646838021464647,0.015415917342482321,3539.89347693899,0.9990601262672381,0.9991371495329118,0.9963986377005836
3p,development,29,0.13561652973294258,1.0053268559277058,0.8563092667795718,0.04208299521232673,1722.7166706936605,0.9988311507381952,0.8337728745003999,0.8061308101375982
3p,development,30,0.183790739113465,0.6050073474645614,0.22225076384842396,0.02511291428576668,3112.1408083435485,0.9994960675663094,0.9982120054727662,0.9958127912997485
3p,development,31,0.11395268249325455,0.9949430331587791,0.5569062579702586,0.05436216355083977,1144.6822343156446,0.9990241185061897,0.737702602120425,0.7072010220837216
3p,development,32,0.11176003082655372,0.5669591173529624,0.8010156985931098,0.01288277796020531,3969.601260207345,0.9972183019944547,0.9987270108235924,0.9921898456203242
3p,development,33,0.18129595671780407,1.0330903261899946,0.47027277142740787,0.07249016161287745,963.8617994498806,0.9991574538464304,0.2847683403432813,0.24525814347742003
