row_i,row_j,g_relative_difference,f_relative_difference,m_difference,gamma_difference,width_i,width_j,a1_i,a1_j
3405,3695,0.01798112317919731,5.240337371826172,0.6675549149513245,0.2111366093158722,0.045578088611364365,0.004800664260983467,0.14829272031784058,0.1798010766506195
6168,6412,0.039891526103019714,4.853758335113525,0.05237001180648804,0.3006559908390045,0.23753291368484497,0.00930639635771513,0.16187548637390137,0.17947503924369812
3823,6412,0.001889863982796669,4.449013710021973,0.3750930428504944,0.23899497091770172,0.08305932581424713,0.00930639635771513,0.1640274077653885,0.17947503924369812
5893,1845,0.06750388443470001,4.366947174072266,0.0704086422920227,0.4781726896762848,0.3793032765388489,0.010535724461078644,0.16131606698036194,0.10953948646783829
2055,3631,0.01464124210178852,4.239142417907715,0.3523118495941162,0.7407487630844116,0.9735564589500427,0.009771197102963924,0.16879916191101074,0.14224538207054138
3510,3631,0.010656489990651608,4.171401500701904,0.21146994829177856,0.687702476978302,0.5112487077713013,0.009771197102963924,0.11557256430387497,0.14224538207054138
112,3631,0.01088328380137682,4.130239009857178,0.5913771390914917,0.6160170435905457,0.961625874042511,0.009771197102963924,0.1679500788450241,0.14224538207054138
2691,3631,0.0055595082230865955,4.063052654266357,0.12283450365066528,0.3973833918571472,0.3347616195678711,0.009771197102963924,0.12899082899093628,0.14224538207054138
9983,3631,0.001758708618581295,4.025266170501709,0.6344766616821289,0.8693689107894897,0.2721714377403259,0.009771197102963924,0.15141014754772186,0.14224538207054138
1355,3631,0.0010343483882024884,3.9212934970855713,0.1747041940689087,0.28560179471969604,0.33104386925697327,0.009771197102963924,0.18568037450313568,0.14224538207054138
3884,6412,0.012030652724206448,3.884066343307495,0.5190631747245789,0.2554005980491638,0.04979011416435242,0.00930639635771513,0.15914881229400635,0.17947503924369812
5697,3631,0.005347279366105795,3.867452383041382,0.20189666748046875,0.33326712250709534,0.25495320558547974,0.009771197102963924,0.1592077910900116,0.14224538207054138
1804,3631,0.0009970982791855931,3.799675703048706,0.4966007471084595,0.13244593143463135,0.20569540560245514,0.009771197102963924,0.17720381915569305,0.14224538207054138
6363,6412,0.02221709117293358,3.7993295192718506,0.10694742202758789,0.04402659088373184,0.0341983288526535,0.00930639635771513,0.1297561526298523,0.17947503924369812
6560,9355,0.051013749092817307,3.6136128902435303,0.23464569449424744,0.8161993026733398,0.4015018045902252,0.017542662099003792,0.19987425208091736,0.14538708329200745
3889,6412,0.014578157104551792,3.5729167461395264,0.13787907361984253,0.014359358698129654,0.015620047226548195,0.00930639635771513,0.18664827942848206,0.17947503924369812
809,8990,0.010564207099378109,3.534311294555664,0.44999173283576965,0.42236071825027466,0.3308686316013336,0.014580205082893372,0.19341717660427094,0.15238921344280243
2910,8990,0.010556821711361408,3.45827054977417,0.42589542269706726,0.30782902240753174,0.2438407838344574,0.014580205082893372,0.1548071801662445,0.15238921344280243
3692,8990,0.027903512120246887,3.4529483318328857,0.32465294003486633,0.5807530283927917,0.3581985831260681,0.014580205082893372,0.17056556046009064,0.15238921344280243
4484,9758,0.014590857550501823,3.4489176273345947,0.9955953359603882,0.8185655474662781,0.7835771441459656,0.013567730784416199,0.18892401456832886,0.14735047519207
159,1845,0.07445207238197327,3.439079523086548,0.1744285225868225,0.41449978947639465,0.22516250610351562,0.010535724461078644,0.15151019394397736,0.10953948646783829
5699,9758,0.003612048691138625,3.4244699478149414,0.6868765354156494,0.7679700255393982,0.9747940897941589,0.013567730784416199,0.1271129846572876,0.14735047519207
5005,9758,0.00864857155829668,3.403311014175415,0.6213104724884033,0.9915944933891296,1.3215605020523071,0.013567730784416199,0.11238763481378555,0.14735047519207
2315,9355,0.01785118132829666,3.3487703800201416,0.3876481354236603,0.6186741590499878,0.20875492691993713,0.017542662099003792,0.15710227191448212,0.14538708329200745
7458,6684,0.030238140374422073,3.3158905506134033,0.9370832443237305,0.4819636344909668,0.6349079012870789,0.015566236339509487,0.16406992077827454,0.1175665557384491
4362,8278,0.013689537532627583,3.30548357963562,0.39043623208999634,0.3977319002151489,0.300970196723938,0.012164042331278324,0.1301845759153366,0.09719902276992798
8590,8990,0.005804514512419701,3.301525354385376,0.28231844305992126,0.1578131467103958,0.11347860097885132,0.014580205082893372,0.12059306353330612,0.15238921344280243
2993,6684,0.008088713511824608,3.28312349319458,1.604907512664795,0.6727505326271057,1.3561700582504272,0.015566236339509487,0.18731418251991272,0.1175665557384491
2562,6140,0.0709354430437088,3.271618127822876,0.14997786283493042,0.4997045695781708,0.31749796867370605,0.006513107102364302,0.1501159816980362,0.13251996040344238
2238,6684,0.007194198202341795,3.241398572921753,1.5810534954071045,0.6073267459869385,1.2232539653778076,0.015566236339509487,0.15811531245708466,0.1175665557384491
1265,6684,0.0021747674327343702,3.2291765213012695,0.9840840101242065,0.7247316837310791,0.9425488710403442,0.015566236339509487,0.15479940176010132,0.1175665557384491
1226,8990,0.012551477178931236,3.2262825965881348,0.15212228894233704,0.590767502784729,0.2509976327419281,0.014580205082893372,0.18155594170093536,0.15238921344280243
6584,8990,0.020847735926508904,3.223160982131958,0.4075998365879059,0.17887552082538605,0.15459617972373962,0.014580205082893372,0.1639222502708435,0.15238921344280243
5482,8990,0.00676119327545166,3.2035410404205322,0.4513992369174957,0.1769554615020752,0.16387300193309784,0.014580205082893372,0.1778998076915741,0.15238921344280243
6188,6684,0.013103160075843334,3.1648309230804443,0.4126228094100952,0.7211405634880066,0.4746764600276947,0.015566236339509487,0.15347151458263397,0.1175665557384491
8853,5853,0.0195004902780056,3.1532135009765625,1.1252111196517944,0.7186300754547119,0.9542034268379211,0.0028002960607409477,0.01491862628608942,0.07302649319171906
8998,9758,0.016855647787451744,3.1462440490722656,0.3364218473434448,0.2359379082918167,0.39068910479545593,0.013567730784416199,0.1849534809589386,0.14735047519207
5746,8278,0.016652116551995277,3.136610269546509,0.523366391658783,0.27209848165512085,0.25647127628326416,0.012164042331278324,0.1629374921321869,0.09719902276992798
6005,8278,0.024510685354471207,3.1272706985473633,0.6775291562080383,0.18247517943382263,0.21758601069450378,0.012164042331278324,0.17027926445007324,0.09719902276992798
257,5853,0.007185428403317928,3.115420341491699,0.379430890083313,0.8697190880775452,0.4897499978542328,0.0028002960607409477,0.0006625470705330372,0.07302649319171906
2307,5853,0.0032158640678972006,3.0957789421081543,1.7002160549163818,0.03569239005446434,0.09712935984134674,0.0028002960607409477,0.04003559798002243,0.07302649319171906
