state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
20,0.12558597326278687,0.020653801038861275,168,0.17273905873298645,0.6606934666633606,1.6235271474394426,6.0244253918982094e-05,train,7946,0.019178355112671852,0.12494324147701263,0.010321671143174171
21,0.1612873077392578,0.9688354134559631,146,0.1196637749671936,0.27305492758750916,1.7172282314305618,6.099669543339441e-05,train,11583,1.0514365434646606,0.13195818662643433,0.48417237401008606
22,0.14421115815639496,0.9549925923347473,124,0.141951322555542,0.9549925923347473,1.6086329231218066,5.572560288226345e-05,train,1451,0.9547045230865479,0.11817850917577744,0.4772544503211975
23,0.12279311567544937,0.8198794722557068,167,0.08505692332983017,0.04027170315384865,1.408475558047657,4.7833892226902957e-05,train,4021,0.761637270450592,0.10241223126649857,0.4097321033477783
24,0.09931587427854538,0.9549925923347473,119,0.06511521339416504,0.012232070788741112,1.6288640098076264,5.29726618292348e-05,train,12108,0.7020323872566223,0.08138760924339294,0.4772544503211975
25,0.07431910932064056,0.024547088891267776,151,0.07529786974191666,0.016884958371520042,1.4411458946222266,4.792804694786374e-05,train,8768,0.015099361538887024,0.07386666536331177,0.012267328798770905
26,0.05540342256426811,0.028757425025105476,129,0.08345841616392136,0.9549925923347473,1.566725528136726,4.9740590347290754e-05,train,5039,0.013814259320497513,0.055007919669151306,0.01437143050134182
27,0.19888076186180115,0.31988951563835144,148,0.17168644070625305,0.017834050580859184,1.4879740526873777,6.0305612735290335e-05,train,9024,0.467631459236145,0.18314601480960846,0.15986375510692596
28,0.06832103431224823,0.8634754419326782,158,0.0684080496430397,0.9359443187713623,1.4164159376909493,4.3973707137183614e-05,train,11586,0.47750088572502136,0.056637875735759735,0.431519091129303
29,0.19752292335033417,0.4479711055755615,131,0.15996117889881134,0.019442405551671982,1.5583064388083205,6.177746950247581e-05,train,7205,0.6550903916358948,0.176410511136055,0.223872110247612
30,0.19980944693088531,0.19724227488040924,157,0.1803210824728012,0.011988090351223946,1.4356745314763846,5.9328054784538775e-05,train,8691,0.28042981028556824,0.18989773094654083,0.09857118874788284
31,0.19501271843910217,0.023173946887254715,163,0.1943487972021103,0.03226636350154877,1.3846901887967111,5.8489500087482325e-05,train,17320,0.029343852773308754,0.19389227032661438,0.011581105180084705
32,0.05345502123236656,0.7943282127380371,169,0.055647943168878555,0.9800539612770081,1.3305034792121813,4.04063719428434e-05,train,12643,5.386814594268799,0.05000000074505806,0.396962970495224
33,0.1898009032011032,0.9688354134559631,147,0.15970702469348907,0.5217950940132141,1.7043424582080482,6.29465152329084e-05,train,1731,1.0354070663452148,0.15980090200901031,0.5463865399360657
34,0.1963777393102646,0.7370551824569702,94,0.14862091839313507,0.16836430132389069,1.8206829748240574,6.927745547911159e-05,train,8312,0.9956915378570557,0.1663777381181717,0.37475720047950745
35,0.10209007561206818,0.02504667080938816,91,0.1416463851928711,0.7223538756370544,1.8592824196566633,6.55536674367322e-05,train,4778,0.019916774705052376,0.10145584493875504,0.012516993097960949
36,0.09674589335918427,0.030373860150575638,104,0.13879606127738953,0.8081649541854858,1.8197272588692228,6.340734278460487e-05,train,341,0.023239741101861,0.09601619839668274,0.015179239213466644
37,0.11190008372068405,0.011850863695144653,127,0.12300688773393631,0.223872110247612,1.6680922061649015,6.010388201402063e-05,train,17174,0.02031908743083477,0.11256195604801178,0.023713737726211548
38,0.08140330761671066,0.018620871007442474,116,0.12330308556556702,0.888689398765564,1.6793100036914,5.674284365634761e-05,train,14882,0.02511717565357685,0.08216461539268494,0.03726061433553696
