state_1,state_2,m_1,m_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,31,0.4,0.8,0.01,0.6309573444801934,0.002,0.004962526261806488,0.001181494478909306,0.011814944789093059,0.06735021731323877,0.017542548874256776,3.5085097748513555e-05,336.7510865661938,33.675108656619386
0,32,0.4,0.8,0.01,1.0,0.002,0.006480328738689423,0.00156967578697393,0.0156967578697393,0.09047278852347483,0.01734970052975264,3.469940105950528e-05,452.36394261737416,45.236394261737416
0,33,0.4,1.0,0.01,0.01,0.002,0.0013503581285476685,0.00023144972191781193,0.0023144972191781192,0.012840079054560785,0.018025568295516152,3.6051136591032306e-05,64.20039527280393,6.420039527280394
0,34,0.4,1.0,0.01,0.015848931924611134,0.002,0.0013922713696956635,0.00024143010169163292,0.0024143010169163292,0.013397822896833098,0.018020099500546526,3.604019900109305e-05,66.9891144841655,6.698911448416549
0,35,0.4,1.0,0.01,0.025118864315095794,0.002,0.001458723098039627,0.00025741786462613796,0.00257417864626138,0.014291914958193846,0.01801143271416928,3.602286542833856e-05,71.45957479096926,7.145957479096924
0,36,0.4,1.0,0.01,0.039810717055349734,0.002,0.0015640519559383392,0.0002830959945662103,0.002830959945662103,0.01572956243065581,0.017997703102946856,3.5995406205893713e-05,78.64781215327903,7.864781215327903
0,37,0.4,1.0,0.01,0.06309573444801933,0.002,0.0017308779060840607,0.000324386930395794,0.00324386930395794,0.018045581010881596,0.017975975957780835,3.595195191556167e-05,90.227905054408,9.022790505440799
0,38,0.4,1.0,0.01,0.1,0.002,0.001994457095861435,0.0003906239262308605,0.003906239262308605,0.021771858299198105,0.017941689719946776,3.5883379439893556e-05,108.8592914959905,10.88592914959905
0,39,0.4,1.0,0.01,0.15848931924611143,0.002,0.0024080872535705566,0.0004959091249725049,0.004959091249725049,0.02772304063250541,0.017887977424491053,3.5775954848982104e-05,138.61520316252705,13.861520316252705
0,40,0.4,1.0,0.01,0.25118864315095807,0.002,0.0030459538102149963,0.0006597068816047503,0.006597068816047502,0.03705109416854798,0.017805327923750325,3.561065584750065e-05,185.25547084273992,18.52554708427399
0,41,0.4,1.0,0.01,0.3981071705534973,0.002,0.003990199416875839,0.0009033431541932762,0.009033431541932762,0.051084624993372914,0.017683268778237383,3.536653755647476e-05,255.42312496686455,25.542312496686456
0,42,0.4,1.0,0.01,0.6309573444801934,0.002,0.005277182906866074,0.0012362213812339752,0.012362213812339751,0.07057194963768272,0.017517177682928577,3.5034355365857153e-05,352.85974818841356,35.28597481884136
0,43,0.4,1.0,0.01,1.0,0.002,0.006817556917667389,0.001635911791124135,0.016359117911241353,0.09446232976760405,0.01731813935934886,3.463627871869772e-05,472.31164883802035,47.23116488380202
0,44,0.4,1.2,0.01,0.01,0.002,0.0017565712332725525,0.00030324490032814427,0.003032449003281443,0.016852314699972854,0.017994258102041777,3.5988516204083556e-05,84.26157349986427,8.426157349986427
0,45,0.4,1.2,0.01,0.015848931924611134,0.002,0.0017970874905586243,0.0003130390487967721,0.003130390487967721,0.017401817769965015,0.017988870641839932,3.5977741283679864e-05,87.00908884982508,8.700908884982509
0,46,0.4,1.2,0.01,0.025118864315095794,0.002,0.001861337572336197,0.0003286965213113344,0.0032869652131133436,0.01828089299172262,0.017980331784676184,3.596066356935237e-05,91.40446495861312,9.140446495861312
0,47,0.4,1.2,0.01,0.039810717055349734,0.002,0.001963220536708832,0.0003537944182831885,0.0035379441828318854,0.019691563246223318,0.01796680201867891,3.593360403735782e-05,98.45781623111658,9.845781623111659
0,48,0.4,1.2,0.01,0.06309573444801933,0.002,0.0021246932446956635,0.0003941033106262139,0.003941033106262139,0.021961265436223287,0.017945382599682674,3.589076519936535e-05,109.80632718111643,10.980632718111643
0,49,0.4,1.2,0.01,0.1,0.002,0.0023801289498806,0.00045879147689506164,0.004587914768950617,0.025614272467004418,0.017911556046968105,3.582311209393621e-05,128.07136233502212,12.80713623350221
0,50,0.4,1.2,0.01,0.15848931924611143,0.002,0.002781827002763748,0.0005618926542564841,0.005618926542564842,0.03146363101515722,0.017858480923126745,3.571696184625349e-05,157.31815507578608,15.731815507578606
0,51,0.4,1.2,0.01,0.25118864315095807,0.002,0.0034037157893180847,0.0007231515835084765,0.007231515835084764,0.040680093667547684,0.017776546667230678,3.555309333446136e-05,203.40046833773837,20.340046833773837
0,52,0.4,1.2,0.01,0.3981071705534973,0.002,0.00433092936873436,0.0009651206604442145,0.009651206604442145,0.05466637557699916,0.01765474023579292,3.530948047158584e-05,273.3318778849958,27.33318778849958
0,53,0.4,1.2,0.01,0.6309573444801934,0.002,0.005610082298517227,0.0013002665699300858,0.013002665699300857,0.07435632205391435,0.017486967268059428,3.497393453611886e-05,371.78161026957173,37.17816102695718
0,54,0.4,1.2,0.01,1.0,0.002,0.007166724652051926,0.0017102539520899057,0.017102539520899056,0.09895997713853392,0.017282279175304616,3.4564558350609234e-05,494.7998856926696,49.47998856926696
1,2,0.4,0.4,0.015848931924611134,0.025118864315095794,0.002,9.308755397796631e-05,2.3591691275084848e-05,0.0002359169127508485,0.0013035283720483012,0.01809833355450025,3.61966671090005e-05,6.517641860241505,0.6517641860241504
1,3,0.4,0.4,0.015848931924611134,0.039810717055349734,0.002,0.00024036690592765808,6.09127187769964e-05,0.000609127187769964,0.0033691041402597673,0.018079796955252282,3.615959391050457e-05,16.845520701298835,1.6845520701298835
1,4,0.4,0.4,0.015848931924611134,0.06309573444801933,0.002,0.0004727169871330261,0.00011978205863438841,0.001197820586343884,0.006635919573743235,0.01805055912798246,3.6101118255964915e-05,33.17959786871617,3.3179597868716177
1,5,0.4,0.4,0.015848931924611134,0.1,0.002,0.0008367337286472321,0.00021198171940904997,0.0021198171940904997,0.011773641320228175,0.018004771305954965,3.600954261190993e-05,58.86820660114087,5.886820660114087
1,6,0.4,0.4,0.015848931924611134,0.15848931924611143,0.002,0.0013973712921142578,0.00035390096687078047,0.003539009668707805,0.019733189174650296,0.017934301634598922,3.5868603269197844e-05,98.66594587325146,9.866594587325146
